airline,origin,destination,dep_time,stops,duration,price,is_red_eye,seats_left
WN,ATL,LAX,19:00,0,5.25,554,0,22
B6,RDU,FLL,11:00,0,2.13,470,0,17
DL,PIT,ATL,08:00,0,2.12,522,0,6
MQ,ORD,IND,16:00,0,0.95,339,0,18
DL,FLL,LGA,07:00,0,2.85,91,0,26
DL,EWR,ATL,15:00,0,2.67,595,0,21
OO,SFO,ONT,10:00,0,1.33,336,0,17
WN,SJC,LAS,17:00,0,1.33,477,0,11
DL,BWI,SLC,07:00,0,4.95,240,0,7
OO,JMS,DEN,08:00,0,1.82,463,0,18
OO,CVG,DEN,17:00,0,3.13,370,0,7
UA,OKC,IAH,07:00,0,1.53,224,0,23
UA,CLE,ORD,18:00,0,1.53,208,0,15
WN,ABQ,LAS,06:00,0,1.67,301,0,20
F9,MCO,PHL,21:00,0,2.32,515,1,23
WN,RSW,PIT,09:00,0,2.5,540,0,28
OO,DEN,DFW,07:00,0,1.92,330,0,7
EV,DTW,ELM,19:00,0,1.12,362,0,19
AA,MSP,DFW,11:00,0,2.67,96,0,23
WN,BWI,ISP,13:00,0,1.0,385,0,25
WN,ISP,PBI,07:00,0,3.0,135,0,7
WN,HOU,SAN,10:00,0,3.5,519,0,14
US,CLT,DCA,16:00,0,1.33,542,0,29
WN,EWR,BNA,18:00,0,2.67,499,0,8
WN,LAX,OAK,18:00,0,1.25,181,0,27
WN,SEA,SMF,08:00,0,1.83,502,0,29
B6,EWR,PBI,18:00,0,2.87,577,0,27
US,BOS,DCA,11:00,0,1.6,453,0,23
WN,LAS,BHM,13:00,0,3.42,133,0,21
WN,ATL,DTW,15:00,0,2.08,552,0,13
VX,FLL,JFK,09:00,0,2.67,370,0,26
UA,IAH,FLL,10:00,0,2.42,589,0,5
EV,CLE,RDU,06:00,0,1.62,476,0,7
B6,SYR,JFK,06:00,0,1.38,264,0,9
AS,SLC,SAN,08:00,0,2.08,281,0,13
EV,BQK,ATL,12:00,0,1.18,553,0,9
US,PHL,ORD,13:00,0,2.37,241,0,18
MQ,SAF,DFW,16:00,0,1.6,357,0,8
EV,PVD,IAD,19:00,0,1.7,467,0,20
AS,SEA,MCO,21:00,0,5.4,200,1,14
WN,RDU,TPA,17:00,0,1.92,530,0,24
UA,IAD,IAH,12:00,0,3.57,310,0,24
AA,PHL,DFW,08:00,0,3.92,271,0,6
WN,HOU,BNA,15:00,0,1.75,170,0,5
DL,LAX,SLC,11:00,0,1.92,285,0,19
DL,MSN,DTW,05:00,0,1.33,494,1,29
US,LAX,PHX,16:00,0,1.35,101,0,24
WN,BWI,MKE,19:00,0,2.08,98,0,20
MQ,LEX,ORD,06:00,0,1.5,514,0,15
DL,MSP,SAN,19:00,0,4.0,294,0,15
OO,ORD,AUS,08:00,0,3.08,285,0,12
WN,LGA,ATL,11:00,0,2.75,250,0,11
WN,TPA,DEN,09:00,0,4.17,239,0,6
DL,ATL,PNS,19:00,0,1.27,299,0,18
DL,LAX,PHX,19:00,0,1.42,485,0,17
AA,MCO,MIA,19:00,0,1.18,274,0,9
WN,ATL,DEN,17:00,0,3.58,197,0,25
DL,FLL,ATL,12:00,0,2.03,509,0,21
OO,HLN,DEN,06:00,0,2.03,175,0,24
DL,LAX,BOS,09:00,0,5.42,326,0,9
EV,FSD,MSP,05:00,0,1.17,463,1,13
OO,LAX,SAN,16:00,0,0.88,446,0,6
UA,ORD,PHX,08:00,0,3.97,403,0,14
F9,MCO,CVG,10:00,0,2.17,126,0,11
US,CLT,LAX,11:00,0,5.57,556,0,13
AS,ANC,PDX,02:00,0,3.5,174,1,16
WN,ATL,AUS,10:00,0,2.75,99,0,22
OO,LAX,BOI,18:00,0,2.05,142,0,27
OO,LAX,SAN,11:00,0,0.92,215,0,6
WN,ECP,HOU,14:00,0,1.92,377,0,6
AA,DFW,PHX,14:00,0,2.72,512,0,7
DL,ATL,BWI,17:00,0,1.83,512,0,15
WN,OKC,DEN,12:00,0,1.75,135,0,18
MQ,DFW,LRD,09:00,0,1.38,503,0,20
MQ,BMI,DFW,07:00,0,2.38,444,0,10
US,CLT,BNA,20:00,0,1.4,153,0,29
WN,BWI,MDW,20:00,0,2.08,538,0,23
WN,MCO,BDL,14:00,0,2.67,122,0,29
EV,DCA,EWR,20:00,0,1.43,97,0,17
AA,LGA,ORD,13:00,0,2.75,212,0,9
EV,SAV,EWR,13:00,0,2.17,588,0,10
DL,SEA,ANC,20:00,0,3.67,269,0,24
OO,VEL,SLC,12:00,0,0.87,144,0,7
OO,SUN,SLC,13:00,0,1.03,552,0,17
DL,LGA,PBI,16:00,0,3.28,452,0,21
AA,LGA,MIA,10:00,0,3.25,527,0,10
WN,BNA,MDW,17:00,0,1.58,593,0,28
UA,LAX,EWR,06:00,0,5.35,566,0,9
UA,IAH,TPA,19:00,0,2.03,409,0,8
OO,MSP,CID,17:00,0,1.17,266,0,28
AA,SAT,DFW,14:00,0,1.12,312,0,26
AA,DFW,ORD,21:00,0,2.07,344,1,7
HA,HNL,SFO,13:00,0,5.17,512,0,5
AA,SLC,DFW,08:00,0,2.75,289,0,9
DL,ATL,BUF,20:00,0,2.05,554,0,15
WN,LAX,SFO,07:00,0,1.25,330,0,5
DL,XNA,ATL,15:00,0,1.78,227,0,17
EV,IAH,BNA,15:00,0,1.9,515,0,14
US,CLE,CLT,12:00,0,1.63,110,0,27
DL,ATL,GSO,22:00,0,1.32,130,1,29
MQ,DFW,JAN,21:00,0,1.27,168,1,27
WN,SMF,SEA,12:00,0,1.83,410,0,27
DL,BNA,ATL,05:00,0,1.2,100,1,11
B6,BUF,BOS,19:00,0,1.32,279,0,6
B6,BQN,JFK,06:00,0,3.87,340,0,20
DL,PHX,ATL,06:00,0,3.45,532,0,14
MQ,ORD,CID,11:00,0,0.97,459,0,5
WN,MDW,PHX,11:00,0,3.92,351,0,10
AA,MIA,SJU,09:00,0,2.6,226,0,25
OO,ATL,SBN,17:00,0,1.83,500,0,13
UA,ATL,ORD,15:00,0,2.12,269,0,7
MQ,ORD,MEM,08:00,0,1.68,107,0,17
AS,SJC,SEA,08:00,0,2.02,145,0,27
EV,BNA,EWR,11:00,0,2.22,295,0,16
DL,BOS,SLC,06:00,0,5.73,214,0,5
VX,SEA,SFO,10:00,0,2.25,248,0,28
UA,IAD,DEN,07:00,0,4.03,198,0,9
MQ,STL,ORD,15:00,0,1.42,325,0,27
DL,FLL,LGA,17:00,0,2.97,580,0,10
EV,EWR,TUL,19:00,0,3.53,471,0,11
AS,ANC,SEA,05:00,0,3.42,338,1,28
EV,IAH,BNA,15:00,0,1.88,563,0,28
OO,PHX,SBA,14:00,0,1.62,307,0,17
WN,ATL,CMH,22:00,0,1.58,388,1,9
DL,LAX,JFK,21:00,0,5.33,422,1,23
AS,OAK,SEA,09:00,0,1.9,345,0,25
AA,LAX,SFO,18:00,0,1.33,325,0,9
UA,SAN,SFO,08:00,0,1.7,99,0,16
DL,MSP,LAX,18:00,0,4.13,306,0,29
EV,DEN,DRO,14:00,0,1.12,162,0,19
B6,BOS,PBI,06:00,0,3.42,222,0,9
EV,IAD,LGA,08:00,0,1.28,124,0,8
WN,ONT,SJC,20:00,0,1.17,413,0,8
EV,ATL,BTR,18:00,0,1.57,303,0,29
US,CLT,PIT,16:00,0,1.4,236,0,26
EV,IND,EWR,08:00,0,2.03,462,0,21
AS,SEA,KOA,10:00,0,6.33,166,0,22
AA,MIA,SJU,07:00,0,2.55,589,0,27
DL,TPA,LAX,08:00,0,5.63,454,0,9
WN,LAS,SEA,10:00,0,2.58,112,0,12
MQ,ORD,IND,14:00,0,0.93,90,0,6
UA,ORD,MSP,19:00,0,1.48,267,0,7
EV,OKC,ATL,10:00,0,1.88,496,0,12
MQ,CVG,JFK,12:00,0,1.92,208,0,7
WN,BNA,SAN,10:00,0,4.58,294,0,20
EV,ICT,ORD,18:00,0,1.93,361,0,24
US,BOS,CLT,05:00,0,2.42,427,1,7
UA,EWR,MCO,17:00,0,3.07,529,0,23
US,CLT,RDU,18:00,0,0.9,259,0,22
F9,MCO,ORD,20:00,0,2.92,234,0,13
WN,MKE,MCO,16:00,0,3.0,456,0,27
WN,LAS,SAN,16:00,0,1.08,419,0,25
MQ,ASE,DFW,14:00,0,1.93,169,0,6
EV,DTW,RDU,13:00,0,1.67,467,0,16
DL,TPA,ATL,18:00,0,1.65,194,0,12
WN,OAK,SAN,07:00,0,1.42,276,0,19
US,RSW,CLT,06:00,0,1.88,243,0,29
UA,SFO,LAX,10:00,0,1.58,489,0,29
AS,SEA,SLC,13:00,0,1.97,248,0,17
OO,SNA,SLC,18:00,0,1.82,571,0,23
WN,HOU,BNA,15:00,0,1.83,341,0,23
WN,ATL,STL,19:00,0,1.75,428,0,8
AA,DFW,SMF,21:00,0,3.75,162,1,10
MQ,HOU,DFW,19:00,0,1.15,113,0,23
UA,CLE,ORD,10:00,0,1.6,174,0,6
WN,BUF,MCO,15:00,0,2.83,313,0,8
OO,MSP,DIK,10:00,0,2.05,165,0,26
DL,DTW,MCO,10:00,0,3.0,112,0,29
B6,TPA,JFK,16:00,0,2.6,515,0,9
DL,SLC,DEN,13:00,0,1.42,195,0,16
US,DCA,LGA,14:00,0,1.48,251,0,16
MQ,TOL,ORD,19:00,0,1.33,238,0,25
MQ,LGA,DAY,13:00,0,1.87,363,0,18
WN,MCO,ALB,09:00,0,2.67,303,0,16
EV,EVV,DTW,10:00,0,1.43,532,0,13
MQ,LBB,DFW,11:00,0,1.1,591,0,21
NK,LAX,ORD,14:00,0,4.03,501,0,27
DL,CHA,ATL,11:00,0,0.9,529,0,10
US,PHX,CLT,11:00,0,3.9,264,0,19
UA,ORD,DEN,20:00,0,2.7,310,0,25
B6,JFK,PBI,21:00,0,2.92,575,1,29
DL,SAV,ATL,11:00,0,1.18,253,0,8
WN,RSW,ATL,08:00,0,1.75,471,0,5
UA,SAN,IAH,11:00,0,3.15,451,0,27
DL,LGA,MCO,09:00,0,3.22,308,0,9
WN,MSY,DAL,06:00,0,1.5,573,0,7
B6,EWR,FLL,13:00,0,3.07,137,0,7
F9,IAH,DEN,19:00,0,2.52,100,0,21
DL,PHL,ATL,10:00,0,2.47,93,0,18
WN,LAS,RNO,19:00,0,1.33,181,0,17
HA,OGG,HNL,20:00,0,0.57,223,0,15
WN,BNA,ECP,08:00,0,1.33,130,0,24
F9,SAN,DEN,19:00,0,2.17,570,0,7
AA,LAX,JFK,15:00,0,5.33,351,0,29
AS,SJC,PDX,13:00,0,1.73,597,0,20
EV,DFW,BTR,09:00,0,1.23,231,0,12
UA,SFO,IAD,22:00,0,5.03,551,1,28
B6,BOS,MCO,07:00,0,3.43,597,0,14
AA,DFW,DEN,08:00,0,2.1,435,0,20
F9,STL,RSW,14:00,0,2.5,317,0,14
OO,BRD,INL,21:00,0,0.77,525,1,22
OO,IAH,TUL,21:00,0,1.47,508,1,7
DL,BOS,LGA,19:00,0,1.42,153,0,25
VX,LAX,IAD,23:00,0,4.75,315,1,16
WN,BWI,BNA,09:00,0,2.08,332,0,10
EV,DEN,COS,13:00,0,0.68,206,0,18
UA,IAH,LAX,21:00,0,3.77,306,1,5
WN,PHX,DAL,14:00,0,2.17,202,0,24
MQ,XNA,DFW,07:00,0,1.4,107,0,23
WN,EWR,BNA,07:00,0,2.58,215,0,28
UA,SFO,ORD,08:00,0,4.27,387,0,6
WN,SAN,PHX,07:00,0,1.25,239,0,18
WN,BNA,LAS,15:00,0,4.25,101,0,25
WN,MAF,DAL,20:00,0,1.08,144,0,6
DL,GRR,ATL,17:00,0,2.27,294,0,18
AS,DCA,SEA,18:00,0,6.1,113,0,21
AA,RIC,DFW,17:00,0,3.55,341,0,22
MQ,MSN,DFW,06:00,0,2.67,189,0,11
US,EWR,CLT,18:00,0,2.08,487,0,19
AA,LGA,MIA,09:00,0,3.37,591,0,14
UA,RSW,EWR,14:00,0,2.75,243,0,17
WN,OMA,STL,06:00,0,1.33,331,0,7
AS,SEA,OGG,17:00,0,6.33,138,0,22
B6,SFO,FLL,15:00,0,5.18,146,0,6
AA,MIA,STT,12:00,0,2.55,369,0,19
WN,SEA,ABQ,11:00,0,2.75,338,0,21
WN,EWR,MDW,13:00,0,2.5,579,0,23
DL,ATL,DTW,21:00,0,1.9,326,1,16
MQ,MHK,DFW,11:00,0,1.52,308,0,15
WN,RDU,FLL,13:00,0,2.0,311,0,25
OO,PSP,SFO,06:00,0,1.6,567,0,16
AA,JAX,DFW,18:00,0,2.83,147,0,19
OO,MSP,ORD,05:00,0,1.52,175,1,11
AA,LAX,OGG,17:00,0,5.93,320,0,21
NK,LGA,MYR,18:00,0,2.02,463,0,10
WN,DEN,PIT,17:00,0,2.83,197,0,12
WN,STL,LAS,12:00,0,3.67,454,0,16
EV,EWR,MCI,20:00,0,3.47,288,0,16
US,JAX,CLT,15:00,0,1.37,333,0,23
AA,MIA,LGA,19:00,0,2.88,153,0,28
B6,MCO,JFK,16:00,0,2.6,571,0,25
UA,SEA,SFO,11:00,0,2.03,133,0,28
B6,BDL,MCO,08:00,0,3.2,441,0,27
WN,RDU,BWI,13:00,0,1.0,109,0,7
DL,MCO,ATL,15:00,0,1.63,328,0,26
DL,CHS,ATL,07:00,0,1.32,544,0,21
UA,LGA,ORD,11:00,0,2.77,101,0,25
UA,IAH,MIA,07:00,0,2.38,141,0,8
UA,DEN,RNO,22:00,0,2.23,364,1,5
EV,OKC,IAH,11:00,0,1.43,437,0,25
US,RDU,PHL,06:00,0,1.45,481,0,11
DL,LGA,DTW,09:00,0,2.18,137,0,27
WN,PHX,DEN,12:00,0,1.92,327,0,25
NK,PDX,SAN,06:00,0,2.33,232,0,5
UA,EWR,TPA,06:00,0,2.97,580,0,7
DL,LGA,ATL,10:00,0,2.8,435,0,20
OO,COS,ORD,07:00,0,2.5,445,0,13
F9,OMA,DEN,06:00,0,1.75,257,0,29
WN,HOU,TUL,21:00,0,1.42,373,1,15
OO,SFO,MCI,10:00,0,3.58,227,0,26
EV,BTR,ATL,17:00,0,1.5,382,0,7
WN,SEA,SJC,10:00,0,2.08,519,0,25
WN,ATL,DEN,18:00,0,3.5,312,0,14
UA,DEN,HNL,11:00,0,7.33,586,0,21
B6,EWR,BOS,21:00,0,1.1,169,1,7
DL,ATL,TUL,20:00,0,2.25,156,0,21
WN,BWI,BUF,22:00,0,1.17,351,1,9
AA,LGA,MIA,15:00,0,3.45,491,0,13
DL,ATL,GRR,14:00,0,1.98,311,0,27
EV,DEN,LNK,15:00,0,1.35,138,0,20
AS,SAN,BOS,08:00,0,5.38,592,0,18
WN,OAK,SAN,15:00,0,1.33,477,0,11
DL,SDF,ATL,08:00,0,1.58,587,0,21
UA,SFO,SAN,12:00,0,1.53,182,0,11
EV,ATL,PHF,21:00,0,1.57,224,1,7
OO,LAX,LAS,20:00,0,1.2,171,0,26
OO,COS,DEN,06:00,0,0.87,203,0,29
EV,EWR,BNA,17:00,0,2.62,567,0,26
DL,LAS,DTW,23:00,0,3.87,539,1,9
EV,IAH,DAL,08:00,0,1.15,154,0,27
MQ,DFW,GSO,20:00,0,2.4,463,0,27
AA,DFW,MSP,12:00,0,2.33,415,0,29
OO,SBA,PHX,19:00,0,1.45,513,0,5
B6,HPN,PBI,15:00,0,3.0,345,0,27
EV,IAH,BTR,07:00,0,1.05,352,0,10
OO,SLC,BOI,17:00,0,1.37,239,0,22
AA,LGA,DFW,15:00,0,4.27,434,0,16
AA,LAX,LAS,17:00,0,1.25,192,0,18
UA,IAH,SAT,15:00,0,1.08,279,0,6
OO,LNK,MSP,13:00,0,1.32,407,0,5
DL,LAX,DTW,09:00,0,4.45,156,0,26
WN,LAS,SJC,21:00,0,1.33,551,1,24
OO,SAN,LAX,09:00,0,0.75,552,0,8
WN,DAL,LGA,06:00,0,3.25,462,0,17
B6,JFK,SEA,17:00,0,6.27,581,0,9
DL,SLC,BZN,17:00,0,1.35,116,0,16
B6,DCA,BOS,13:00,0,1.42,219,0,18
UA,EWR,MIA,14:00,0,3.25,224,0,11
DL,SLC,PDX,15:00,0,2.0,95,0,14
VX,EWR,SFO,07:00,0,6.58,301,0,9
B6,JFK,PBI,06:00,0,2.97,597,0,27
OO,SFO,PSC,19:00,0,1.85,435,0,25
UA,HNL,LAX,14:00,0,5.63,185,0,29
OO,ONT,SFO,05:00,0,1.47,217,1,19
US,CLT,MSY,09:00,0,1.98,304,0,11
WN,ABQ,LAS,19:00,0,1.5,461,0,26
WN,BWI,PBI,13:00,0,2.5,287,0,29
DL,PBI,ATL,13:00,0,1.87,426,0,9
HA,HNL,KOA,10:00,0,0.73,565,0,14
US,LAX,PHL,11:00,0,5.07,129,0,18
MQ,ORD,CMH,17:00,0,1.22,563,0,20
WN,MSY,MCI,11:00,0,2.0,91,0,27
EV,CAK,ORD,06:00,0,1.58,361,0,21
EV,FWA,DTW,18:00,0,1.02,483,0,13
WN,LGA,MDW,08:00,0,2.58,469,0,12
EV,LGA,MSP,14:00,0,3.18,213,0,20
DL,LAX,MSP,13:00,0,3.65,129,0,22
MQ,DFW,VPS,13:00,0,1.82,252,0,8
WN,ATL,LAX,15:00,0,5.17,567,0,15
UA,SFO,ORD,10:00,0,4.27,430,0,9
US,CLT,LGA,14:00,0,1.7,173,0,23
DL,BOS,JFK,08:00,0,1.35,149,0,10
US,PBI,PHL,11:00,0,2.57,157,0,20
AA,LAX,LAS,16:00,0,1.17,469,0,14
DL,ATL,ORD,07:00,0,2.08,295,0,13
MQ,DFW,SAV,19:00,0,2.22,198,0,23
WN,DAL,AMA,17:00,0,1.25,263,0,7
OO,SBA,SFO,08:00,0,1.25,388,0,25
OO,SBA,SFO,17:00,0,1.17,519,0,8
OO,ORD,DLH,21:00,0,1.58,542,1,28
NK,RSW,DTW,10:00,0,2.78,408,0,27
UA,IAH,BOS,15:00,0,3.63,444,0,8
US,MIA,PHL,21:00,0,2.78,560,1,28
EV,MSP,BIS,20:00,0,1.65,284,0,10
OO,MSP,LAN,19:00,0,1.6,526,0,12
UA,SFO,EWR,22:00,0,5.38,594,1,29
EV,IAH,SHV,15:00,0,1.0,388,0,19
US,DFW,CLT,12:00,0,2.32,221,0,5
US,PHL,ORD,20:00,0,2.35,296,0,23
UA,EWR,MIA,10:00,0,3.27,449,0,29
MQ,EYW,MIA,14:00,0,0.75,424,0,18
WN,PHL,TPA,13:00,0,2.75,369,0,9
F9,DEN,DCA,11:00,0,3.15,165,0,17
WN,PHX,LIT,10:00,0,2.5,268,0,12
AA,MCO,DFW,09:00,0,3.0,468,0,8
WN,MSP,ATL,14:00,0,2.5,388,0,23
OO,DEN,LAR,20:00,0,0.9,462,0,21
UA,LAX,EWR,10:00,0,5.25,177,0,18
US,BOS,DCA,15:00,0,1.7,464,0,25
DL,ATL,LGA,15:00,0,2.25,264,0,8
OO,PHX,SBP,11:00,0,1.8,245,0,27
DL,SLC,SEA,13:00,0,2.17,182,0,12
MQ,ORD,HPN,14:00,0,2.17,384,0,17
US,ORD,PHL,07:00,0,2.02,373,0,14
WN,STL,GRR,18:00,0,1.25,389,0,13
US,CLT,STL,18:00,0,2.07,482,0,20
UA,EWR,SFO,18:00,0,6.57,283,0,14
DL,MIA,DTW,16:00,0,3.23,526,0,27
US,PHX,OGG,08:00,0,6.67,390,0,26
OO,ORF,IAH,17:00,0,3.62,298,0,15
US,CLT,ATL,09:00,0,1.25,411,0,15
EV,LGA,CAE,09:00,0,2.47,97,0,15
WN,PHX,MDW,15:00,0,3.33,213,0,6
DL,ATL,ROC,20:00,0,2.13,412,0,11
B6,BUF,BOS,08:00,0,1.42,266,0,22
HA,LIH,HNL,08:00,0,0.53,276,0,14
EV,ATL,HPN,20:00,0,2.12,373,0,6
DL,RDU,LAX,08:00,0,5.97,292,0,8
UA,ORD,LAX,15:00,0,4.67,544,0,27
B6,LGA,FLL,10:00,0,3.2,528,0,8
OO,SLC,PDX,08:00,0,1.92,541,0,26
DL,PNS,ATL,16:00,0,1.33,274,0,26
HA,ITO,HNL,19:00,0,0.83,338,0,21
WN,ATL,RDU,10:00,0,1.33,120,0,27
EV,LGA,GSO,07:00,0,2.05,136,0,7
WN,MCO,ROC,09:00,0,2.67,399,0,9
EV,DTW,ERI,10:00,0,1.03,239,0,24
MQ,DSM,DFW,15:00,0,2.02,345,0,7
US,TPA,PHL,06:00,0,2.43,445,0,11
AA,MIA,IAH,21:00,0,2.9,201,1,11
VX,LAX,FLL,10:00,0,4.75,396,0,27
WN,FLL,HOU,19:00,0,2.92,576,0,22
US,PHX,MSP,13:00,0,3.1,130,0,20
AA,ORD,TUS,09:00,0,3.85,396,0,7
UA,EWR,SFO,06:00,0,6.65,351,0,20
MQ,BNA,JFK,12:00,0,2.4,132,0,14
DL,PDX,MSP,15:00,0,3.3,223,0,21
B6,FLL,PVD,08:00,0,2.85,285,0,16
AS,LAX,PDX,17:00,0,2.37,362,0,11
WN,IND,MCO,17:00,0,2.33,141,0,5
UA,DEN,ORD,07:00,0,2.47,148,0,16
DL,MSP,SLC,09:00,0,2.97,592,0,6
DL,IND,DTW,08:00,0,1.35,433,0,14
OO,SFO,PSP,22:00,0,1.38,134,1,24
WN,DCA,STL,18:00,0,2.33,396,0,27
DL,ATL,IAD,19:00,0,1.8,467,0,18
UA,DEN,DFW,09:00,0,1.95,233,0,24
B6,BOS,DCA,11:00,0,1.7,427,0,14
DL,ATL,CMH,22:00,0,1.52,112,1,13
UA,DEN,ORD,17:00,0,2.35,563,0,14
MQ,CID,DFW,06:00,0,2.33,93,0,7
US,CLT,RSW,22:00,0,1.82,223,1,7
UA,MSY,ORD,14:00,0,2.57,186,0,20
EV,DEN,AMA,19:00,0,1.23,343,0,9
WN,SFO,DEN,05:00,0,2.58,257,1,13
DL,DTW,BWI,14:00,0,1.67,461,0,6
WN,OAK,SEA,14:00,0,1.92,263,0,11
WN,SAT,DAL,20:00,0,0.92,343,0,8
UA,SEA,LAX,17:00,0,2.68,551,0,21
UA,DEN,FLL,10:00,0,3.78,210,0,24
UA,TPA,IAD,13:00,0,2.18,598,0,23
AA,DFW,ABQ,18:00,0,1.88,516,0,28
WN,BWI,BOS,08:00,0,1.42,359,0,23
US,SEA,PHX,17:00,0,2.75,354,0,29
MQ,BNA,ORD,19:00,0,1.67,466,0,17
DL,ATL,JAX,11:00,0,1.15,284,0,18
US,ORD,CLT,09:00,0,1.98,479,0,27
AA,MIA,LAX,14:00,0,6.08,568,0,11
US,PIT,CLT,06:00,0,1.77,581,0,20
WN,SJC,DEN,09:00,0,2.5,362,0,27
OO,SLC,CPR,20:00,0,1.32,482,0,29
EV,IAH,LBB,17:00,0,1.63,509,0,10
B6,DFW,BOS,11:00,0,3.43,520,0,8
MQ,CHS,MIA,16:00,0,1.7,466,0,12
DL,LGA,MIA,14:00,0,3.37,411,0,8
UA,ORD,RSW,09:00,0,2.95,585,0,21
AA,DFW,MFE,09:00,0,1.57,405,0,15
WN,JAX,BWI,17:00,0,1.83,184,0,19
AA,CLT,DFW,17:00,0,2.97,541,0,7
NK,LAS,DFW,11:00,0,2.62,496,0,19
WN,MDW,BWI,13:00,0,1.83,167,0,29
DL,ATL,GSO,19:00,0,1.33,597,0,19
MQ,GSP,DFW,05:00,0,2.98,281,1,12
